product_category_name,product_category_name_english,metacategory
beleza_saude,health_beauty,Health and beauty
informatica_acessorios,computers_accessories,High tech
automotivo,auto,Other
cama_mesa_banho,bed_bath_table,Home supply
moveis_decoracao,furniture_decor,Home supply
esporte_lazer,sports_leisure,Sport supply
perfumaria,perfumery,Health and beauty
utilidades_domesticas,housewares,Home supply
telefonia,telephony,High tech
relogios_presentes,watches_gifts,Fashion
alimentos_bebidas,food_drink,Food and Drinks
bebes,baby,Health and beauty
papelaria,stationery,Home supply
tablets_impressao_imagem,tablets_printing_image,Home supply
brinquedos,toys,Other
telefonia_fixa,fixed_telephony,High tech
ferramentas_jardim,garden_Tools,Home supply
Fashion_bolsas_e_acessorios,Fashion_bags_accessories,Fashion
eletroportateis,small_appliances,Home supply
consoles_games,consoles_games,High tech
audio,audio,High tech
Fashion_calcados,Fashion_shoes,Fashion
cool_stuff,cool_stuff,Other
malas_acessorios,luggage_accessories,Fashion
climatizacao,air_conditioning,Home supply
construcao_ferramentas_construcao,construction_Tools_construction,Tools
moveis_cozinha_area_de_servico_jantar_e_jardim,kitchen_dining_laundry_garden_furniture,Home supply
construcao_ferramentas_jardim,costruction_Tools_garden,Tools
Fashion_roupa_masculina,Fashion_male_clothing,Fashion
Pet_shop,Pet_shop,Other
moveis_escritorio,office_furniture,Home supply
market_place,market_place,Other
eletronicos,electronics,High tech
eletrodomesticos,home_appliances,Home supply
Artigos_de_festas,pArty_supplies,Other
casa_conforto,home_confort,Home supply
construcao_ferramentas_ferramentas,costruction_Tools_Tools,Tools
agro_industria_e_comercio,agro_industry_and_commerce,Books
moveis_colchao_e_estofado,furniture_mattress_and_upholstery,Home supply
livros_tecnicos,Bookss_technical,Books
casa_construcao,home_construction,Tools
instrumentos_Musicais,Musical_instruments,Art
moveis_sala,furniture_living_room,Home supply
construcao_ferramentas_iluminacao,construction_Tools_lights,Tools
industria_comercio_e_negocios,industry_commerce_and_business,Other
alimentos,food,Food and Drinks
Artes,Art,Art
moveis_quArto,furniture_bedroom,Home supply
livros_interesse_geral,Bookss_general_interest,Books
construcao_ferramentas_seguranca,construction_Tools_safety,Tools
Fashion_underwear_e_moda_praia,Fashion_underwear_beach,Fashion
Fashion_esporte,Fashion_sport,Sport supply
sinalizacao_e_seguranca,signaling_and_security,Other
pcs,computers,High tech
Artigos_de_natal,christmas_supplies,Home supply
Fashion_roupa_feminina,fashio_female_clothing,Fashion
eletrodomesticos_2,home_appliances_2,Home supply
livros_importados,Bookss_imported,Books
bebidas,drinks,Food and Drinks
cine_foto,cine_photo,Art
la_cuisine,la_cuisine,Home supply
Musica,Music,Art
casa_conforto_2,home_comfort_2,Home supply
portateis_casa_forno_e_cafe,small_appliances_home_oven_and_coffee,Home supply
cds_dvds_Musicais,cds_dvds_Musicals,High tech
dvds_blu_ray,dvds_blu_ray,High tech
flores,flowers,Other
Artes_e_Artesanato,Arts_and_craftmanship,Art
fraldas_higiene,diapers_and_hygiene,Health and beauty
Fashion_roupa_infanto_juvenil,Fashion_childrens_clothes,Fashion
seguros_e_servicos,security_and_services,Other
